2024-08-13,85100,SZCZECIN GŁ.-GDAŃSK GŁ.,SOPOT,TELEFON
2024-08-13,82104,ŚWINOUJŚCIE-HRUBIESZÓW MIASTO,HRUBIESZÓW M.,UBRANIE
2024-08-13,1220,WARSZAWA WSCHODNIA-KIELCE GŁÓWNE,KIELCE GŁÓWNE,WALIZKA / PLECAK
2024-08-13,82102,SZCZECIN GŁ.-LUBLIN GŁ.,SKARŻYSKO-KAMIEN.,SASZETKA / NERKA
2024-08-13,31100,PRZEMYŚL GŁ.-WARSZAWA GD.,MIECHÓW,SASZETKA / NERKA
2024-08-13,1101,BIAŁYSTOK-ŁÓDŹ FABRYCZNA,WARSZAWA WSCHODNIA,SPRZĘT ELEKTRONICZNY
2024-08-13,4124,KATOWICE-PŁOCK,KUTNO,RZECZY OSOBISTE
2024-08-13,18106,WARSZAWA WSCHODNIA-ŚWINOUJŚCIE,ŚWINOUJŚCIE,RZECZY OSOBISTE
2024-08-13,83100,KOŁOBRZEG-RZESZÓW GŁ.,RZESZÓW GŁ.,SPRZĘT SPORTOWY
2024-08-13,35105,ZAKOPANE-GDYNIA GŁ.,WARSZAWA WSCHODNIA,DOKUMENT/Y
2024-08-13,35105,ZAKOPANE-GDYNIA GŁ.,CIECHANÓW,PORTFEL
2024-08-13,35105,ZAKOPANE-GDYNIA GŁ.,CIECHANÓW,KSIĄŻKA
2024-08-13,1512,WARSZAWA ZACHODNIA-GDYNIA GŁ.,GDYNIA GŁ.,ARTYKUŁY SPOŻYWCZE
2024-08-13,16190,SZKLARSKA PORĘBA -WARSZAWA,WARSZAWA OLSZYNKA GROCHOWSKA,PARASOL
2024-08-13,249,BERLIN HBF-WARSZAWA GD.,RZEPIN,DOKUMENT/Y
2024-08-13,5402,GDYNIA GŁ.-BIELSKO-BIAŁA GŁ.,BIELSKO-BIAŁA GŁ.,SASZETKA / NERKA
2024-08-13,58106,OLSZTYN GŁ.-SZCZECIN GŁ.,KOSZALIN,SPRZĘT ELEKTRONICZNY
2024-08-13,7322,POZNAŃ GŁ.-KRAKÓW GŁ.,KUTNO,TELEFON
2024-08-12,7322,POZNAŃ GŁ.-KRAKÓW,KRAKÓW GŁ.,ARTYKUŁY DZIECIĘCE
2024-08-13,33110,ZAGÓRZ-KRAKÓW,KRAKÓW GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-13,6124,WROCŁAW GŁ.-BIAŁYSTOK,BIAŁYSTOK,RZECZY OSOBISTE
2024-08-13,26100,LUBLIN GŁ.-WROCŁAW GŁ.,WROCŁAW GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-13,1304,WARSZAWA-KRAKÓW,KRAKÓW GŁ.,UBRANIE
2024-08-13,58106,OLSZTYN GŁ.-SZCZECIN GŁ.,LĘBORK,WALIZKA / PLECAK
2024-08-12,515 WAGON W REZERWIE,BRAK,KRAKÓW GŁ.,TELEFON
2024-08-13,1304,WARSZAWA-KRAKÓW,KRAKÓW GŁ.,KSIĄŻKA
2024-08-13,1304,WARSZAWA-KRAKÓW,KRAKÓW GŁ.,KSIĄŻKA
2024-08-13,1302,WARSZAWA-KRAKÓW,KRAKÓW GŁOWNY,SPRZĘT ELEKTRONICZNY
2024-08-13,109,GDYNIA GŁ.-WIEN HBF,KATOWICE,WALIZKA / PLECAK
2024-08-12,5334,BYDGOSZCZ-KRAKÓW,KRAKÓW GŁ.,RZECZY OSOBISTE
2024-08-12,5312,GDYNIA-KRAKÓW,KRAKÓW GŁ.,UBRANIE
2024-08-12,5334,BYDGOSZCZ-KRAKÓW,KRAKÓW GŁ.,UBRANIE
2024-08-12,53190,HEL-KRAKÓW,KRAKÓW GŁ.,UBRANIE
2024-08-12,5334,BYDGOSZCZ-KRAKÓW,KRAKÓW GŁ.,UBRANIE
2024-08-13,5110,GDYNIA GŁ.-WARSZAWA ZACHODNIA,IŁAWA GŁ.,WALIZKA / PLECAK
2024-08-13,18106,WARSZAWA WSCHODNIA-ŚWINOUJŚCIE,SWARZĘDZ,SPRZĘT ELEKTRONICZNY
2024-08-13,58104,OLSZTYN GŁ.-SZCZECIN GŁ.,SZCZECIN GŁ.,UBRANIE
2024-08-13,53150,BYDGOSZCZ GŁ.-ZAKOPANE,ZAKOPANE,KSIĄŻKA
2024-08-13,82104,ŚWINOUJŚCIE-HRUBIESZÓW MIASTO,WRONKI,SPRZĘT ELEKTRONICZNY
2024-08-13,83172,USTKA-PRZEMYŚL GŁ,PRZEMYŚL GŁ,SPRZĘT ELEKTRONICZNY
2024-08-13,3506,KRAKÓW GŁ.-GDYNIA GŁ.,GDYNIA GŁ.,RZECZY OSOBISTE
2024-08-13,57100,OLSZTYN GŁ.-ZIELONA GÓRA GŁ.,ZIELONA GÓRA GŁ.,RZECZY OSOBISTE
2024-08-13,57100,OLSZTYN GŁ.-ZIELONA GÓRA GŁ.,ZIELONA GÓRA GŁ.,RZECZY OSOBISTE
2024-08-13,45,BERLIN HBF-WARSZAWA WSCHODNIA,WARSZAWA WSCHODNIA,SPRZĘT ELEKTRONICZNY
2024-08-13,402,ŁEBA-BOHUMIN,TYCHY,SPRZĘT SPORTOWY
2024-08-13,53150,BYDGOSZCZ GŁ.-ZAKOPANE,CHABÓWKA STADION,RZECZY OSOBISTE
2024-08-13,16102,WARSZAWA WSCHODNIA-WROCŁAW GŁ.,WARSZAWA WSCHODNIA,UBRANIE
2024-08-13,11100,WARSZAWA-TERESPOL,TERESPOL,SPRZĘT ELEKTRONICZNY
2024-08-13,5324,OLSZTYN GŁ.-KRAKÓW GŁ.,SKARŻYSKO-KAMIEN.,REKLAMÓWKA / TORBA
2024-08-13,1322,WARSZAWA WSCHODNIA-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-13,7300,POZNAŃ GŁ.-PRZEMYŚL GŁ.,PRZEMYŚL GŁ.,UBRANIE
2024-08-09,5302,GDYNIA-KRAKÓW,KRAKÓW GŁ.,KSIĄŻKA
2024-08-09,5302,GDYNIA-KRAKÓW,KRAKÓW GŁ.,KSIĄŻKA
2024-08-09,1308,WARSZAWA-KRAKÓW,KRAKÓW GŁ.,PARASOL
2024-08-09,1308,WARSZAWA-KRAKÓW,KRAKÓW GŁ.,PARASOL
2024-08-08,8340,KOŁOBRZEG-KRAKÓW,KRAKÓW GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-08,1310,WARSZAWA-KRAKÓW,KRAKÓW GŁ.,PARASOL
2024-08-13,1201,ŁÓDŻ FABRYCZNA-LUBLIN,LUBLIN,SPRZĘT ELEKTRONICZNY
2024-08-08,8340,KOŁOBRZEG-KRAKÓW,KRAKÓW GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-08,5320,OLSZTYN-KRAKÓW,KRAKÓW GŁ.,ARTYKUŁY MEDYCZNE
2024-08-08,5320,OLSZTYN-KRAKÓW,KRAKÓW GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-13,61106,WROCŁAW GŁ.-BIAŁYSTOK,BIAŁYSTOK,SPRZĘT ELEKTRONICZNY
2024-08-13,48102,BIELSKO-BIAŁA GŁ.-USTKA,BIELSKO-BIAŁA GŁ.,WALIZKA / PLECAK
2024-08-13,3604,PRZEMYŚL GŁ.-WROCŁAW GŁ.,WROCŁAW GŁ.,SASZETKA / NERKA
2024-08-13,144,KRAKÓW GŁ.-VILNIUS(LT),BIAŁYSTOK,PORTFEL
2024-08-13,41,BERLIN HBF-WARSZAWA WSCHODNIA,POZNAŃ GŁ.,TELEFON
2024-08-13,35171,ZAKOPANE-GDYNIA GŁ.,GDYNIA GŁ.,UBRANIE
2024-08-13,83172,ŚWINOUJŚCIE-PRZEMYŚL GŁ.,PRZEMYŚL GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-12,75100,ZIELONA GÓRA- OLSZTYN,OLSZTYN,DOKUMENT/Y
2024-08-12,75100,ZIELONA GÓRA-OLSZTYN,OLSZTYN,DOKUMENT/Y
